id,dias_desde_ajuizamento,ano_ajuizamento,mes_ajuizamento,eh_segunda,eh_sexta,municipio_fortaleza,qtd_assuntos,tem_tutela_urgencia,tem_obrigacao_fazer,tem_dano_moral,qtd_movimentos,velocidade_movimentos,eh_horario_almoco,complexidade_score,tem_recurso,sentenca_favoravel,texto_decisao,sexo_juiz_bin,sexo_requerente_bin,eh_fornecimento_de_medicamentos,eh_obrigacao_de_fazer__nao_fazer,eh_fraldas,eh_tutela_de_urgencia,eh_tratamento_medico_hospitalar,eh_urgencia,eh_fornecimento_de_insumos,eh_acessao,eh_interdicao,eh_indenizacao_por_dano_moral,eh_direitos_da_personalidade,eh_liminar,eh_nao_padronizado,eh_nomeacao,eh_multa_cominatoria__astreintes,eh_sucumbenciais,eh_competencia_dos_juizados_especiais,eh_assistencia_a_saude,eh_indenizacao_por_dano_material,eh_plano_de_saude,eh_tratamento_da_propria_saude,eh_fazenda_publica,eh_antecipacao_de_tutela__tutela_especifica
1,68,2025,8,0,0,0,2,0,1,0,11,0.1618,0,22,1,0,"Julgado improcedente o pedido
Isso posto, considerando tudo mais que dos autos consta, levando em conta, ainda, o entendimento já adotado por este juízo em ações desta natureza, bem como que à parte autora é disponibilizado um tratamento absolutamente eficaz, mas convencional, conforme dispõe na Portaria Conjunta nº 7, de 12 de abril de 2022, os princípios de direito aplicáveis ao caso sub judice, JULGO IMPROCEDENTE o pedido contido na inicial e resolvo o processo, com julgamento do mérito, com esteio no artigo 487, inciso I, do Código de Processo Civil. Em decorrência da aplicação do princípio da causalidade, arbitro honorários em desfavor da parte autora a título de honorários no valor de 10% sobre o valor atribuído à causa e, em decorrência da hipossuficiência financeira, na forma do art. 98, §3º, do CPC de 2015, suspendo sua exibilidade pelo prazo de 05(cinco) anos. Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Publique-se. Registre-se. Intime-se.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,68,2025,8,0,0,0,2,0,1,0,18,0.2647,0,36,1,1,"Julgado procedente o pedido
Isso posto, considerando tudo mais que dos autos consta, os princípios de direito aplicáveis ao caso sub judice, JULGO PROCEDENTE o pedido inicial, condenando o ESTADO DO CEARÁ na obrigação de fazer consistente no fornecimento de DUPILUMAB 150MG - 03 AMPOLAS NO PRIMEIRO MÊS E 02 AMPOLAS/MÊS A PARTIR DO 2° MÊS, POR TEMPO INDETERMINADO, quantidade e especificação prescrita pelo médico assistente, no prazo de até 60 (sessenta) dias, conforme atesta a necessidade do laudo médico de fls. 77-79, devendo ser apresentado novo laudo e nova receita a cada 06(seis) meses, sob pena de suspensão da entrega dos itens, o que, desde logo, fica deferido ao ente demandado.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,74,2025,7,0,0,0,2,0,1,0,20,0.2703,0,40,1,1,"Julgado procedente o pedido
Isso posto, considerando tudo mais que dos autos consta, os princípios de direito aplicáveis ao caso sub judice, JULGO PROCEDENTE o pedido inicial, CONFIRMANDO, portanto, a decisão liminar e condenando o Estado do Ceará no fornecimento à parte autora, Pedro Vitor Silva Pinto, do medicamento ARIPIPRAZOL, na quantidade e especificação prescrita pelo médico assistente, no prazo de até 90 (noventa) dias, conforme atesta a necessidade do laudo médico de fls. 29-31 e 41-43, sob pena de bloqueio de verba pública, até ulterior deliberação do Poder Judiciário.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,103,2025,7,0,0,0,2,0,1,0,20,0.1942,0,40,1,0,"Julgado improcedente o pedido
Isso posto, considerando tudo mais que dos autos consta, levando em conta, ainda, o entendimento já adotado por este juízo em ações desta natureza, bem como que à parte autora é disponibilizado um tratamento absolutamente eficaz, mas convencional, conforme dispõe na Portaria Conjunta nº 7, de 12 de abril de 2022, os princípios de direito aplicáveis ao caso sub judice, JULGO IMPROCEDENTE o pedido contido na inicial e resolvo o processo, com julgamento do mérito, com esteio no artigo 487, inciso I, do Código de Processo Civil. Em decorrência da aplicação do princípio da causalidade, arbitro honorários em desfavor da parte autora a título de honorários no valor de 10% sobre o valor atribuído à causa e, em decorrência da hipossuficiência financeira, na forma do art. 98, §3º, do CPC de 2015, suspendo sua exibilidade pelo prazo de 05(cinco) anos. Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Publique-se. Registre-se. Intime-se",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,105,2025,6,1,0,0,2,0,1,0,14,0.1333,0,28,1,0,"Julgado improcedente o pedido
Isso posto, considerando tudo mais que dos autos consta, levando em conta, ainda, o entendimento já adotado por este juízo em ações desta natureza, bem como que à parte autora é disponibilizado um tratamento absolutamente eficaz, mas convencional, conforme dispõe na Portaria Conjunta nº 7, de 12 de abril de 2022, os princípios de direito aplicáveis ao caso sub judice, JULGO IMPROCEDENTE o pedido contido na inicial e resolvo o processo com julgamento do mérito, com esteio no artigo 487, inciso I, do Código de Processo Civil. Em decorrência da aplicação do princípio da causalidade, arbitro honorários em desfavor da parte autora a título de honorários no valor de 10% sobre o valor atribuído à causa e, em decorrência da hipossuficiência financeira, na forma do art. 98, §3º, do CPC de 2015, suspendo sua exibilidade pelo prazo de 05(cinco) anos. Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Publique-se. Registre-se. Intime-se.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,77,2025,6,0,0,0,2,0,1,0,25,0.3247,0,50,1,0,"Julgado improcedente o pedido
Os requisitos do Tema 6 do STF também estão ausentes. Ante o exposto, JULGO IMPROCEDENTE o pedido formulado na presente ação, nos termos da fundamentação, extinguindo o feito com resolução do mérito, nos termos do art. 487, inciso I, do CPC. Condeno a parte autora ao pagamento das custas processuais e honorários advocatícios, os quais fixo em 10% (dez por cento) sobre o valor da causa, nos termos do art. 85, §2º, do CPC. Todavia, suspendo a exigibilidade da verba sucumbencial, nos termos do art. 98, §3º, do CPC, em razão da concessão dos benefícios da gratuidade da justiça, ressalvando-se a possibilidade de futura cobrança caso demonstrada a melhoria da condição financeira da parte autora. Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Cientifiquem-se. Publique-se. Registre-se. Intime-se.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,81,2025,6,0,0,1,1,0,0,0,29,0.358,0,29,0,1,"Julgado procedente o pedido
Isso posto, considerando tudo mais que dos autos consta, os princípios de direito aplicáveis ao caso sub judice, JULGO PROCEDENTE o pedido inicial, condenando o ESTADO DO CEARÁ na obrigação de fazer consistente no fornecimento de DUPILUMAB 150MG - 03 AMPOLAS NO PRIMEIRO MÊS E 02 AMPOLAS/MÊS A PARTIR DO 2° MÊS, POR TEMPO INDETERMINADO, quantidade e especificação prescrita pelo médico assistente, no prazo de até 60 (sessenta) dias, conforme atesta a necessidade do laudo médico de fls. 77-79, devendo ser apresentado novo laudo e nova receita a cada 06(seis) meses, sob pena de suspensão da entrega dos itens, o que, desde logo, fica deferido ao ente demandado.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,87,2025,5,0,0,1,1,0,0,0,35,0.4023,0,35,0,1,"Julgado procedente o pedido
Isso posto, considerando tudo mais que dos autos consta, os princípios de direito aplicáveis ao caso sub judice, JULGO PROCEDENTE o pedido inicial, CONFIRMANDO, portanto, a decisão liminar e condenando o Estado do Ceará no fornecimento à parte autora, Pedro Vitor Silva Pinto, do medicamento ARIPIPRAZOL, na quantidade e especificação prescrita pelo médico assistente, no prazo de até 90 (noventa) dias, conforme atesta a necessidade do laudo médico de fls. 29-31 e 41-43, sob pena de bloqueio de verba pública, até ulterior deliberação do Poder Judiciário.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,150,2025,5,0,1,0,2,0,1,0,16,0.1067,0,32,1,0,"Julgado improcedente o pedido
Diante do exposto, JULGO IMPROCEDENTE o pedido inicial e, via de consequência, resolvo o mérito com fundamento no art. 487, inciso I, do Código de Processo Civil, para INDEFERIR, em sede definitiva, o fornecimento dos medicamento Canabidiol a autora Ana Clara dos Santos de Moraes, nos termos acima fundamentados. Em decorrência da aplicação do princípio da causalidade, arbitro honorários em desfavor da parte autora a título de honorários no valor de 10% sobre o valor atribuído à causa e, em decorrência da hipossuficiência financeira, na forma do art. 98, §3º, do CPC de 2015, suspendo sua exibilidade pelo prazo de 05(cinco) anos. Após o trânsito em julgado, decorrido o prazo recursal voluntário, dê-se baixa na distribuição e arquivem-se os autos. Custas ex lege. Publique-se. Registre-se. Intime-se.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,151,2025,3,0,0,1,2,0,0,0,6,0.0397,0,12,1,1,"Julgado procedente o pedido
Diante do exposto, julgo procedente o pedido formulado pela parte autora, de sorte que extingo o feito, com resolução do mérito, nos termos do art. 487, I, do CPC, para confirmar e tornar definitiva a tutela de urgência deferida às fls. 96/100 e, nesse passo, determinar que a UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA. forneça ao autor, de forma contínua e ininterrupta, o cateter Gentlecath com revestimento hidrofílico, pronto para uso, calibre 12, na quantidade de 8 (oito) unidades por dia, totalizando 240 (duzentas e quarenta) unidades, por mês, enquanto perdurar a necessidade do tratamento, conforme prescrição médica de fls. 25. Devido à sucumbência, condeno a parte promovida ao pagamento das custas e honorários advocatícios, os quais fixo em 10% sobre o valor da causa atualizado. Publique-se. Registre-se. Intimem-se. Após o trânsito em julgado, arquivem-se os presentes autos com as baixas necessárias. Fortaleza/CE, data da assinatura digital. LUCIANO NUNES MAIA FREIRE Juiz de Direito",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
